Jawaban,Produk,Fitur,Bahan
"[1, 4, 1, 3, 1, 1, 1, 2, 4, 4, 2, 3, 2, 2]","Sunscreen, Moisturizer","Balancing, UV Protection","Allantoin, Water, Glycerin, Niacinamide"
"[2, 1, 4, 1, 4, 3, 4, 2, 2, 3, 1, 1, 4, 4]","Cleanser, Booster","Pore Care, Custom Care","Panthenol, Salicylic Acid, Niacinamide, Allantoin"
"[2, 4, 3, 3, 2, 2, 1, 4, 3, 1, 3, 1, 3, 4]","Sunscreen, Serum","Pore Care, Balancing","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[2, 4, 2, 2, 4, 1, 1, 2, 2, 1, 4, 4, 3, 1]","Sunscreen, Cleanser","Pore Care, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[2, 4, 2, 2, 3, 3, 4, 4, 4, 4, 1, 2, 4, 1]","Sunscreen, Cleanser","Pore Care, Protective","Niacinamide, Panthenol, Salicylic Acid, Ceramide"
"[3, 3, 2, 3, 4, 1, 4, 4, 4, 3, 4, 4, 3, 1]","Sunscreen, Booster","Custom Care, Balanced","Allantoin, Water, Panthenol, Niacinamide"
"[4, 1, 3, 2, 1, 1, 3, 2, 4, 3, 2, 4, 4, 3]","Sunscreen, Serum","UV Protection, Soothing","Allantoin, Niacinamide, Panthenol, Cica"
"[1, 3, 4, 1, 2, 4, 4, 1, 2, 3, 2, 1, 4, 4]","Moisturizer, Serum","Hydrating, Soothing","Allantoin, Panthenol, Salicylic Acid, Glycerin"
"[3, 2, 2, 3, 1, 2, 1, 2, 1, 2, 1, 3, 4, 3]","Sunscreen, Spot Treatment","Protective, Balanced Hydration","Niacinamide, Allantoin, Water, Cica"
"[4, 1, 2, 4, 4, 2, 2, 4, 2, 3, 4, 2, 2, 1]","Booster, Serum","Balancing, Acne Free","Panthenol, Niacinamide, Ceramide, Glycol"
"[3, 3, 3, 4, 4, 3, 4, 4, 1, 4, 2, 4, 1, 3]","Essence, Booster","Custom Care, Protective","Allantoin, Panthenol, Ceramide, Cica"
"[4, 2, 3, 3, 4, 3, 3, 1, 1, 2, 1, 3, 2, 4]","Serum, Sunscreen","Balancing, Protective","Panthenol, Cica, Glycol, Allantoin"
"[3, 2, 2, 1, 1, 3, 1, 3, 3, 1, 1, 1, 3, 1]","Sunscreen, Essence","Acne Free, Hydrating","Niacinamide, Allantoin, Glycerin, Salicylic Acid"
"[4, 2, 1, 2, 2, 1, 4, 4, 2, 1, 2, 4, 3, 1]","Sunscreen, Serum","Oil Control, Soothing","Panthenol, Salicylic Acid, Allantoin, Niacinamide"
"[3, 3, 2, 3, 4, 1, 3, 1, 3, 2, 1, 4, 4, 3]","Sunscreen, Serum","Protective, Custom Care","Allantoin, Water, Niacinamide, Panthenol"
"[2, 1, 4, 3, 4, 1, 3, 4, 3, 4, 4, 3, 3, 1]","Sunscreen, Booster","Custom Care, Pore Care","Niacinamide, Panthenol, Salicylic Acid, Water"
"[1, 3, 2, 4, 4, 1, 1, 2, 1, 1, 3, 4, 3, 1]","Moisturizer, Sunscreen","Hydrating, Balanced","Glycerin, Ceramide, Allantoin, Niacinamide"
"[2, 3, 1, 2, 3, 2, 2, 4, 3, 4, 1, 1, 1, 2]","Cleanser, Sunscreen","Acne Free, Oil Control","Salicylic Acid, Niacinamide, Allantoin, Panthenol"
"[4, 4, 1, 2, 4, 3, 1, 1, 2, 3, 2, 2, 2, 4]","Serum, Sunscreen","Balancing, Oil Control","Panthenol, Salicylic Acid, Niacinamide, Allantoin"
"[2, 4, 2, 1, 2, 2, 3, 3, 3, 3, 1, 3, 3, 4]","Sunscreen, Serum","Balanced, Pore Care","Niacinamide, Panthenol, Salicylic Acid, Retinol"
"[1, 2, 1, 1, 3, 1, 2, 3, 2, 1, 2, 1, 1, 1]","Sunscreen, Cleanser","Hydrating, Acne Free","Salicylic Acid, Niacinamide, Allantoin, Glycerin"
"[3, 2, 3, 3, 4, 1, 1, 1, 3, 2, 3, 3, 4, 3]","Sunscreen, Serum","Custom Care, Protective","Allantoin, Niacinamide, Water, Cica"
"[1, 4, 2, 2, 4, 2, 4, 1, 3, 3, 3, 3, 3, 2]","Sunscreen, Booster","Custom Care, Balanced","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[4, 3, 2, 2, 1, 1, 2, 1, 4, 1, 1, 1, 4, 3]","Sunscreen, Cleanser","Acne Free, UV Protection","Allantoin, Niacinamide, Salicylic Acid, Cica"
"[2, 2, 3, 1, 2, 4, 1, 1, 3, 3, 2, 4, 4, 4]","Serum, Sunscreen","Pore Care, Soothing","Allantoin, Panthenol, Salicylic Acid, Cica"
"[2, 3, 3, 1, 1, 4, 2, 4, 3, 1, 2, 4, 2, 2]","Booster, Sunscreen","Custom Care, Pore Care","Allantoin, Panthenol, Salicylic Acid, Cica"
"[4, 1, 3, 4, 4, 1, 1, 3, 4, 4, 2, 2, 3, 1]","Sunscreen, Serum","Balancing, Acne Prevention","Panthenol, Niacinamide, Allantoin, Cica"
"[3, 4, 3, 3, 4, 4, 3, 3, 2, 1, 3, 1, 4, 4]","Sunscreen, Serum","Balancing, Custom Care","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[4, 3, 2, 2, 2, 3, 2, 3, 3, 1, 2, 2, 2, 3]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[3, 1, 3, 3, 2, 4, 1, 4, 1, 2, 3, 3, 4, 2]","Sunscreen, Serum","Balanced Hydration, Custom Care","Allantoin, Niacinamide, Panthenol, Water"
"[1, 4, 4, 3, 3, 2, 3, 4, 4, 1, 4, 2, 3, 3]","Sunscreen, Mask","Balancing, Protective","Niacinamide, Allantoin, Panthenol, Ceramide"
"[2, 3, 2, 4, 3, 1, 1, 2, 1, 1, 1, 2, 4, 2]","Sunscreen, Moisturizer","UV Protection, Pore Care","Allantoin, Panthenol, Niacinamide, Ceramide"
"[4, 2, 2, 3, 4, 3, 4, 3, 4, 3, 1, 1, 3, 1]","Sunscreen, Spot Treatment","Balancing, Acne Free","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[3, 4, 2, 2, 3, 3, 4, 4, 1, 2, 1, 4, 1, 3]","Sunscreen, Essence","Protective, Custom Care","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[4, 1, 4, 1, 2, 4, 4, 4, 1, 1, 2, 2, 1, 4]","Serum, Booster","Custom Care, Balancing","Panthenol, Glycol, Allantoin, Glycerin"
"[3, 3, 4, 1, 1, 2, 1, 1, 2, 4, 3, 3, 2, 3]","Sunscreen, Moisturizer","Balanced, Calming","Niacinamide, Allantoin, Salicylic Acid, Glycerin"
"[1, 1, 4, 4, 4, 1, 3, 2, 2, 1, 1, 4, 2, 1]","Serum, Sunscreen","Hydrating, Balancing","Panthenol, Ceramide, Allantoin, Glycerin"
"[3, 4, 1, 1, 2, 3, 2, 4, 3, 1, 4, 3, 1, 3]","Sunscreen, Essence","Acne Free, Protective","Panthenol, Allantoin, Niacinamide, Salicylic Acid"
"[4, 2, 3, 2, 2, 4, 2, 4, 1, 4, 4, 4, 2, 2]","Booster, Serum","Balancing, Custom Care","Panthenol, Salicylic Acid, Glycol, Ceramide"
"[4, 4, 4, 3, 2, 2, 3, 1, 2, 2, 4, 1, 1, 2]","Sunscreen, Serum","Balancing, Oil Control","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[2, 2, 4, 2, 2, 2, 2, 4, 4, 3, 4, 2, 2, 4]","Cleanser, Sunscreen","Balancing, Pore Care","Panthenol, Salicylic Acid, Niacinamide, Glycol"
"[1, 4, 2, 2, 3, 4, 4, 1, 1, 3, 1, 2, 1, 3]","Sunscreen, Calming Mask","Hydrating, Protective","Niacinamide, Panthenol, Cica, Allantoin"
"[4, 4, 1, 2, 3, 3, 4, 1, 4, 2, 4, 4, 3, 4]","Sunscreen, Serum","Protective, Balancing","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[2, 2, 3, 4, 1, 1, 2, 1, 2, 2, 1, 4, 3, 1]","Sunscreen, Cleanser","Pore Care, Calming","Salicylic Acid, Niacinamide, Cica, Allantoin"
"[2, 2, 1, 4, 2, 2, 1, 4, 2, 4, 1, 3, 2, 4]","Sunscreen, Serum","Balancing, Pore Care","Panthenol, Salicylic Acid, Niacinamide, Glycol"
"[2, 4, 3, 4, 2, 2, 2, 3, 3, 3, 3, 4, 4, 1]","Sunscreen, Serum","Pore Care, Balanced","Niacinamide, Salicylic Acid, Allantoin, Ceramide"
"[3, 3, 4, 4, 2, 1, 2, 1, 1, 4, 4, 1, 1, 1]","Moisturizer, Serum","Balancing, Acne Free","Allantoin, Ceramide, Salicylic Acid, Panthenol"
"[4, 1, 4, 4, 2, 2, 2, 4, 1, 4, 4, 2, 2, 4]","Serum, Booster","Balancing, Pore Care","Panthenol, Glycol, Ceramide, Niacinamide"
"[3, 2, 4, 1, 1, 3, 3, 4, 2, 4, 4, 2, 4, 1]","Essence, Booster","Hydrating, Balanced Hydration","Panthenol, Allantoin, Salicylic Acid, Ceramide"
"[2, 3, 1, 2, 2, 2, 1, 4, 1, 2, 4, 2, 2, 3]","Sunscreen, Moisturizer","Oil Control, Protective","Niacinamide, Panthenol, Salicylic Acid, Glycerin"
"[2, 1, 4, 4, 1, 4, 4, 2, 1, 2, 1, 1, 4, 4]","Serum, Cleanser","Pore Care, Balancing","Panthenol, Niacinamide, Salicylic Acid, Ceramide"
"[1, 3, 4, 1, 2, 4, 4, 4, 3, 4, 3, 2, 3, 1]","Moisturizer, Booster","Custom Care, Hydrating","Panthenol, Glycerin, Ceramide, Niacinamide"
"[1, 2, 3, 3, 4, 4, 2, 3, 1, 4, 1, 2, 1, 2]","Sunscreen, Moisturizer","Hydrating, Acne Prevention","Cica, Panthenol, Allantoin, Glycerin"
"[4, 2, 2, 2, 1, 3, 1, 3, 1, 4, 4, 2, 2, 2]","Spot Treatment, Moisturizer","Balancing, Pore Care","Panthenol, Niacinamide, Ceramide, Salicylic Acid"
"[2, 1, 1, 4, 2, 2, 3, 2, 1, 1, 4, 1, 4, 2]","Sunscreen, Serum","Pore Care, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Ceramide"
"[3, 3, 2, 1, 2, 4, 3, 1, 1, 2, 4, 4, 4, 2]","Sunscreen, Moisturizer","Balanced Hydration, Hydrating","Allantoin, Panthenol, Niacinamide, Glycerin"
"[1, 3, 4, 3, 2, 3, 2, 4, 3, 1, 2, 4, 4, 3]","Sunscreen, Moisturizer","Protective, Soothing","Allantoin, Ceramide, Salicylic Acid, Panthenol"
"[3, 4, 3, 3, 4, 3, 1, 4, 3, 3, 2, 1, 1, 3]","Essence, Sunscreen","Custom Care, Protective","Allantoin, Niacinamide, Water, Salicylic Acid"
"[1, 2, 4, 2, 3, 3, 1, 2, 3, 4, 4, 1, 1, 3]","Moisturizer, Cleanser","Protective, Hydrating","Salicylic Acid, Niacinamide, Ceramide, Glycerin"
"[4, 3, 1, 4, 2, 1, 4, 1, 2, 4, 1, 4, 4, 1]","Sunscreen, Serum","Balancing, Balanced","Panthenol, Allantoin, Salicylic Acid, Ceramide"
"[1, 2, 1, 3, 1, 4, 3, 2, 3, 4, 4, 4, 3, 4]","Sunscreen, Serum","Balancing, Custom Care","Panthenol, Allantoin, Ceramide, Salicylic Acid"
"[4, 2, 4, 1, 4, 2, 1, 2, 3, 4, 4, 3, 1, 2]","Serum, Sunscreen","Balancing, Custom Care","Panthenol, Salicylic Acid, Glycerin, Niacinamide"
"[4, 3, 2, 2, 2, 2, 1, 1, 3, 4, 4, 4, 2, 4]","Serum, Moisturizer","Balancing, Oil Control","Panthenol, Allantoin, Niacinamide, Glycol"
"[4, 2, 4, 2, 4, 3, 4, 1, 3, 4, 1, 3, 4, 2]","Sunscreen, Serum","Custom Care, Balancing","Panthenol, Salicylic Acid, Allantoin, Niacinamide"
"[2, 1, 3, 4, 4, 3, 4, 4, 1, 2, 2, 4, 1, 3]","Booster, Sunscreen","Protective, Custom Care","Niacinamide, Panthenol, Ceramide, Allantoin"
"[4, 4, 3, 4, 1, 3, 1, 4, 1, 4, 4, 3, 2, 2]","Serum, Booster","Balancing, Pore Care","Panthenol, Ceramide, Glycol, Niacinamide"
"[2, 3, 1, 4, 2, 3, 1, 4, 2, 4, 1, 1, 4, 2]","Cleanser, Sunscreen","Acne Free, Pore Care","Salicylic Acid, Panthenol, Niacinamide, Allantoin"
"[2, 1, 3, 4, 4, 2, 2, 4, 2, 1, 2, 2, 3, 3]","Sunscreen, Cleanser","Pore Care, Acne Prevention","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[1, 3, 4, 1, 2, 1, 4, 3, 2, 2, 1, 1, 2, 4]","Sunscreen, Moisturizer","Hydrating, Balanced","Panthenol, Niacinamide, Salicylic Acid, Glycerin"
"[4, 4, 2, 2, 4, 1, 4, 2, 2, 4, 1, 2, 2, 4]","Serum, Booster","Balancing, Oil Control","Panthenol, Niacinamide, Salicylic Acid, Glycol"
"[2, 4, 3, 2, 1, 2, 4, 2, 3, 2, 1, 2, 3, 1]","Serum, Sunscreen","Pore Care, Acne Prevention","Niacinamide, Cica, Panthenol, Salicylic Acid"
"[3, 1, 2, 2, 4, 4, 4, 3, 1, 2, 3, 4, 2, 2]","Sunscreen, Booster","Custom Care, Balanced Hydration","Niacinamide, Panthenol, Allantoin, Water"
"[4, 2, 3, 3, 2, 2, 3, 1, 3, 2, 4, 4, 1, 3]","Serum, Sunscreen","Balancing, Protective","Allantoin, Panthenol, Cica, Niacinamide"
"[3, 2, 3, 1, 1, 1, 3, 2, 2, 2, 2, 1, 4, 1]","Serum, Sunscreen","Hydrating, Soothing","Allantoin, Salicylic Acid, Niacinamide, Water"
"[3, 2, 1, 2, 4, 1, 2, 1, 3, 3, 3, 4, 3, 3]","Sunscreen, Cleanser","Acne Free, Custom Care","Allantoin, Salicylic Acid, Niacinamide, Water"
"[1, 3, 1, 2, 4, 2, 3, 4, 2, 2, 4, 4, 1, 4]","Sunscreen, Booster","Oil Control, Custom Care","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[3, 4, 2, 2, 4, 3, 1, 4, 2, 1, 4, 1, 2, 3]","Booster, Cleanser","Acne Free, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[3, 2, 3, 4, 1, 4, 2, 1, 1, 4, 2, 2, 2, 2]","Essence, Serum","Balanced Hydration, Acne Prevention","Allantoin, Cica, Panthenol, Salicylic Acid"
"[3, 3, 2, 2, 2, 4, 3, 3, 4, 3, 2, 2, 2, 1]","Sunscreen, Essence","Balanced, Soothing","Allantoin, Panthenol, Niacinamide, Water"
"[4, 4, 4, 2, 2, 4, 1, 3, 1, 1, 3, 1, 1, 1]","Moisturizer, Sunscreen","Balanced, Hydrating","Niacinamide, Salicylic Acid, Panthenol, Glycerin"
"[3, 3, 4, 3, 4, 4, 2, 2, 4, 3, 3, 3, 1, 3]","Sunscreen, Booster","Balanced, Custom Care","Allantoin, Water, Panthenol, Niacinamide"
"[4, 3, 1, 2, 1, 2, 4, 3, 1, 1, 3, 2, 3, 2]","Sunscreen, Moisturizer","Balanced, Oil Control","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[3, 2, 3, 3, 2, 4, 4, 1, 2, 3, 4, 3, 2, 3]","Sunscreen, Booster","Balancing, Custom Care","Panthenol, Allantoin, Niacinamide, Water"
"[4, 3, 4, 2, 1, 3, 4, 2, 3, 2, 3, 2, 2, 2]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Allantoin, Niacinamide, Salicylic Acid"
"[3, 4, 1, 1, 4, 3, 3, 3, 4, 1, 1, 2, 2, 1]","Sunscreen, Essence","Hydrating, UV Protection","Panthenol, Allantoin, Water, Niacinamide"
"[3, 2, 4, 3, 2, 4, 3, 4, 4, 2, 2, 3, 3, 3]","Sunscreen, Essence","Soothing, Custom Care","Allantoin, Niacinamide, Water, Panthenol"
"[3, 3, 4, 4, 1, 1, 3, 4, 3, 2, 1, 4, 1, 2]","Sunscreen, Serum","Balanced Hydration, Calming","Allantoin, Panthenol, Cica, Water"
"[4, 4, 2, 3, 1, 3, 4, 4, 3, 2, 3, 1, 2, 1]","Sunscreen, Booster","Balancing, Custom Care","Niacinamide, Panthenol, Glycol, Salicylic Acid"
"[2, 2, 3, 2, 3, 2, 3, 1, 2, 3, 4, 1, 1, 3]","Cleanser, Sunscreen","Oil Control, Pore Care","Niacinamide, Salicylic Acid, Cica, Allantoin"
"[2, 1, 3, 1, 4, 4, 2, 4, 1, 1, 4, 2, 3, 3]","Booster, Sunscreen","Custom Care, Pore Care","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[3, 3, 3, 2, 3, 2, 3, 4, 1, 1, 1, 1, 4, 3]","Sunscreen, Moisturizer","Oil Control, Protective","Niacinamide, Allantoin, Cica, Salicylic Acid"
"[2, 2, 3, 2, 4, 3, 2, 2, 3, 1, 2, 1, 3, 1]","Cleanser, Serum","Pore Care, Custom Care","Salicylic Acid, Niacinamide, Panthenol, Ceramide"
"[3, 1, 2, 2, 3, 1, 4, 2, 1, 4, 3, 2, 3, 2]","Sunscreen, Toner","Balanced Hydration, Balanced","Niacinamide, Allantoin, Panthenol, Water"
"[2, 3, 3, 2, 1, 3, 3, 1, 1, 4, 1, 1, 3, 4]","Cleanser, Serum","Balanced, Calming","Niacinamide, Cica, Salicylic Acid, Allantoin"
"[4, 2, 3, 2, 2, 1, 4, 4, 3, 2, 3, 2, 1, 2]","Serum, Sunscreen","Custom Care, Acne Prevention","Panthenol, Cica, Niacinamide, Allantoin"
"[4, 3, 3, 1, 2, 2, 4, 1, 1, 4, 1, 4, 3, 2]","Sunscreen, Serum","Balanced, Hydrating","Panthenol, Allantoin, Cica, Glycerin"
"[1, 3, 1, 1, 1, 4, 1, 3, 1, 2, 4, 3, 4, 4]","Sunscreen, Moisturizer","Hydrating, Balanced","Glycerin, Panthenol, Ceramide, Allantoin"
"[4, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 2, 2, 1]","Booster, Serum","Custom Care, Balancing","Panthenol, Salicylic Acid, Glycol, Ceramide"
"[2, 3, 1, 1, 3, 4, 4, 4, 4, 3, 4, 2, 2, 3]","Sunscreen, Booster","Custom Care, Protective","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[3, 4, 2, 4, 3, 2, 4, 3, 3, 3, 1, 4, 4, 4]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Allantoin, Panthenol, Water"
"[1, 3, 3, 3, 4, 3, 1, 2, 1, 4, 3, 2, 3, 3]","Moisturizer, Sunscreen","Balanced, Hydrating","Glycerin, Ceramide, Panthenol, Niacinamide"
"[2, 1, 4, 3, 1, 3, 4, 1, 4, 4, 1, 1, 4, 4]","Sunscreen, Calming Mask","Pore Care, Balancing","Allantoin, Salicylic Acid, Niacinamide, Cica"
"[3, 3, 1, 1, 3, 1, 2, 2, 2, 4, 2, 4, 3, 2]","Sunscreen, Essence","Balanced Hydration, Balanced","Allantoin, Salicylic Acid, Niacinamide, Water"
"[3, 4, 2, 4, 3, 1, 2, 1, 3, 2, 1, 2, 4, 2]","Sunscreen, Serum","Balanced Hydration, Acne Free","Allantoin, Niacinamide, Panthenol, Cica"
"[1, 3, 2, 4, 2, 4, 4, 3, 2, 4, 3, 4, 4, 4]","Sunscreen, Serum","Balanced, Balancing","Panthenol, Niacinamide, Allantoin, Ceramide"
"[4, 1, 1, 1, 1, 3, 1, 2, 3, 2, 2, 3, 3, 4]","Serum, Sunscreen","Balancing, Protective","Panthenol, Niacinamide, Glycol, Glycerin"
"[3, 4, 4, 3, 2, 4, 3, 3, 1, 2, 2, 4, 3, 4]","Sunscreen, Serum","Balancing, Soothing","Allantoin, Niacinamide, Panthenol, Water"
"[2, 2, 4, 3, 2, 1, 2, 1, 3, 2, 4, 3, 4, 1]","Sunscreen, Cleanser","Pore Care, Balancing","Salicylic Acid, Allantoin, Niacinamide, Water"
"[1, 3, 4, 4, 4, 1, 3, 3, 1, 4, 4, 3, 3, 1]","Moisturizer, Sunscreen","Balanced, Hydrating","Ceramide, Glycerin, Panthenol, Niacinamide"
"[3, 3, 2, 3, 2, 1, 3, 4, 2, 3, 1, 3, 3, 3]","Sunscreen, Serum","Balanced, Balanced Hydration","Allantoin, Niacinamide, Water, Panthenol"
"[3, 2, 2, 2, 3, 1, 2, 1, 2, 2, 3, 3, 4, 4]","Sunscreen, Cleanser","Acne Free, Oil Control","Niacinamide, Allantoin, Salicylic Acid, Water"
"[1, 4, 4, 1, 2, 4, 1, 3, 1, 3, 3, 1, 1, 4]","Moisturizer, Sunscreen","Hydrating, Balanced","Glycerin, Niacinamide, Panthenol, Salicylic Acid"
"[4, 4, 4, 4, 1, 4, 4, 4, 2, 3, 2, 4, 2, 1]","Booster, Serum","Balancing, Custom Care","Panthenol, Allantoin, Salicylic Acid, Glycol"
"[1, 1, 3, 1, 1, 1, 3, 3, 1, 4, 3, 3, 2, 4]","Sunscreen, Serum","Hydrating, Balanced","Niacinamide, Glycerin, Panthenol, Ceramide"
"[4, 3, 2, 3, 3, 1, 2, 2, 4, 3, 3, 2, 3, 2]","Sunscreen, Serum","Balanced, Balancing","Allantoin, Niacinamide, Panthenol, Water"
"[2, 1, 3, 4, 1, 4, 4, 1, 4, 3, 4, 2, 1, 2]","Calming Mask, Booster","Calming, Pore Care","Allantoin, Cica, Panthenol, Niacinamide"
"[2, 1, 4, 1, 1, 2, 3, 2, 2, 2, 1, 2, 2, 1]","Cleanser, Toner","Pore Care, Hydrating","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[1, 2, 3, 3, 4, 4, 1, 3, 3, 3, 1, 4, 3, 4]","Sunscreen, Serum","Custom Care, Balancing","Panthenol, Allantoin, Glycerin, Cica"
"[4, 2, 4, 3, 2, 4, 4, 1, 1, 4, 2, 4, 1, 1]","Serum, Sunscreen","Balancing, Soothing","Allantoin, Panthenol, Salicylic Acid, Cica"
"[4, 2, 1, 3, 1, 2, 3, 4, 2, 3, 4, 3, 1, 3]","Sunscreen, Serum","Balancing, Calming","Allantoin, Niacinamide, Panthenol, Salicylic Acid"
"[1, 1, 2, 3, 1, 3, 2, 2, 3, 2, 3, 4, 1, 2]","Sunscreen, Calming Mask","Protective, Acne Free","Allantoin, Niacinamide, Ceramide, Cica"
"[3, 4, 1, 1, 4, 2, 4, 4, 1, 3, 3, 1, 1, 3]","Sunscreen, Booster","Custom Care, Acne Free","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[1, 2, 3, 3, 3, 4, 1, 3, 2, 2, 4, 2, 2, 1]","Sunscreen, Moisturizer","Balancing, Hydrating","Niacinamide, Panthenol, Glycerin, Ceramide"
"[1, 3, 4, 1, 3, 3, 4, 3, 3, 4, 4, 2, 2, 1]","Moisturizer, Booster","Hydrating, Balanced","Panthenol, Ceramide, Glycerin, Niacinamide"
"[1, 3, 2, 1, 1, 2, 2, 4, 3, 4, 2, 1, 3, 1]","Moisturizer, Sunscreen","Hydrating, Acne Free","Niacinamide, Glycerin, Allantoin, Ceramide"
"[2, 4, 3, 3, 3, 3, 1, 3, 2, 1, 2, 1, 4, 2]","Sunscreen, Cleanser","Pore Care, Protective","Niacinamide, Allantoin, Salicylic Acid, Aloe Vera"
"[3, 1, 2, 1, 2, 3, 3, 3, 1, 1, 3, 1, 1, 3]","Sunscreen, Essence","Acne Free, Hydrating","Niacinamide, Allantoin, Glycerin, Panthenol"
"[4, 2, 4, 3, 2, 4, 1, 4, 3, 4, 4, 1, 3, 1]","Serum, Booster","Balancing, Custom Care","Panthenol, Salicylic Acid, Glycol, Glycerin"
"[3, 2, 4, 4, 4, 2, 1, 4, 4, 1, 1, 2, 1, 2]","Sunscreen, Booster","Balanced Hydration, Custom Care","Allantoin, Panthenol, Cica, Water"
"[3, 3, 3, 1, 3, 2, 3, 3, 4, 3, 3, 1, 2, 3]","Sunscreen, Serum","Balanced, Protective","Niacinamide, Allantoin, Water, Panthenol"
"[2, 4, 3, 4, 2, 3, 1, 2, 3, 2, 3, 2, 4, 2]","Serum, Sunscreen","Pore Care, Acne Prevention","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[1, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 4, 3, 3]","Sunscreen, Calming Mask","Hydrating, Calming","Allantoin, Glycerin, Cica, Ceramide"
"[2, 4, 3, 1, 2, 2, 1, 2, 1, 4, 1, 4, 2, 4]","Serum, Sunscreen","Pore Care, Hydrating","Panthenol, Niacinamide, Glycerin, Salicylic Acid"
"[4, 2, 1, 1, 4, 2, 1, 3, 3, 4, 1, 3, 3, 2]","Sunscreen, Serum","Balanced, Custom Care","Panthenol, Niacinamide, Salicylic Acid, Glycerin"
"[3, 1, 4, 1, 4, 1, 3, 1, 4, 4, 2, 2, 2, 2]","Sunscreen, Essence","Balanced Hydration, UV Protection","Allantoin, Panthenol, Water, Cica"
"[2, 3, 2, 1, 3, 3, 4, 2, 3, 2, 1, 1, 4, 3]","Sunscreen, Cleanser","Protective, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[4, 4, 3, 1, 3, 3, 1, 2, 4, 3, 4, 1, 1, 3]","Sunscreen, Serum","Protective, Balancing","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[2, 3, 3, 4, 1, 4, 3, 4, 4, 3, 2, 4, 1, 4]","Serum, Sunscreen","Balancing, Calming","Allantoin, Panthenol, Cica, Glycol"
"[1, 2, 2, 4, 2, 1, 1, 1, 1, 3, 3, 3, 4, 2]","Sunscreen, Moisturizer","Hydrating, Minimal Care","Allantoin, Glycerin, Ceramide, Niacinamide"
"[4, 3, 2, 2, 4, 2, 4, 2, 2, 4, 1, 1, 2, 1]","Cleanser, Booster","Oil Control, Balancing","Panthenol, Niacinamide, Salicylic Acid, Glycol"
"[1, 1, 1, 3, 3, 4, 4, 2, 4, 3, 1, 2, 1, 2]","Sunscreen, Toner","Custom Care, Hydrating","Allantoin, Panthenol, Cica, Niacinamide"
"[3, 1, 4, 4, 4, 1, 2, 4, 1, 1, 4, 1, 2, 1]","Booster, Sunscreen","Balancing, Custom Care","Panthenol, Ceramide, Allantoin, Salicylic Acid"
"[1, 4, 3, 4, 2, 1, 4, 2, 3, 1, 2, 1, 3, 1]","Serum, Sunscreen","Soothing, Hydrating","Panthenol, Ceramide, Niacinamide, Allantoin"
"[1, 2, 4, 1, 4, 4, 3, 4, 2, 3, 3, 4, 1, 1]","Booster, Sunscreen","Hydrating, Custom Care","Panthenol, Glycerin, Salicylic Acid, Allantoin"
"[1, 3, 2, 3, 2, 2, 4, 1, 1, 1, 4, 1, 2, 4]","Moisturizer, Sunscreen","Balancing, Hydrating","Panthenol, Allantoin, Ceramide, Niacinamide"
"[2, 2, 3, 1, 1, 4, 2, 1, 4, 4, 3, 1, 2, 2]","Cleanser, Sunscreen","Pore Care, Calming","Salicylic Acid, Allantoin, Niacinamide, Cica"
"[4, 3, 2, 3, 1, 2, 1, 2, 3, 1, 3, 3, 3, 4]","Sunscreen, Serum","Balanced, Balancing","Niacinamide, Allantoin, Panthenol, Glycol"
"[1, 1, 1, 3, 4, 4, 1, 3, 2, 4, 4, 4, 2, 2]","Sunscreen, Booster","Balancing, Custom Care","Panthenol, Niacinamide, Allantoin, Glycerin"
"[1, 1, 3, 2, 2, 3, 3, 4, 3, 1, 1, 1, 3, 1]","Serum, Moisturizer","Hydrating, Custom Care","Niacinamide, Ceramide, Panthenol, Glycerin"
"[3, 1, 3, 4, 3, 3, 1, 4, 3, 2, 1, 1, 3, 4]","Serum, Sunscreen","Protective, Balancing","Niacinamide, Panthenol, Cica, Ceramide"
