Jawaban,Produk,Fitur,Bahan
"[1, 1, 3, 1, 1, 1, 2, 3, 4, 3, 4, 2, 2, 1]","Sunscreen, Moisturizer","Hydrating, Acne Prevention","Panthenol, Allantoin, Glycerin, Ceramide"
"[2, 1, 4, 3, 2, 3, 2, 1, 2, 2, 2, 1, 3, 4]","Cleanser, Sunscreen","Pore Care, Balancing","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[1, 2, 4, 4, 4, 1, 3, 3, 1, 2, 4, 3, 2, 1]","Sunscreen, Moisturizer","Hydrating, Balancing","Ceramide, Panthenol, Glycerin, Niacinamide"
"[2, 1, 4, 1, 4, 2, 4, 1, 4, 1, 3, 1, 4, 1]","Sunscreen, Cleanser","Pore Care, Hydrating","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[1, 3, 4, 2, 3, 1, 1, 4, 4, 1, 1, 3, 2, 2]","Sunscreen, Moisturizer","UV Protection, Balanced","Allantoin, Niacinamide, Panthenol, Glycerin"
"[3, 1, 1, 4, 1, 1, 4, 4, 4, 3, 4, 3, 1, 2]","Sunscreen, Booster","Balanced Hydration, Balancing","Allantoin, Panthenol, Water, Niacinamide"
"[3, 2, 1, 3, 3, 2, 4, 1, 1, 1, 2, 1, 1, 3]","Sunscreen, Essence","Acne Free, Protective","Allantoin, Niacinamide, Salicylic Acid, Water"
"[2, 3, 3, 3, 1, 4, 2, 3, 4, 4, 4, 4, 4, 4]","Sunscreen, Cleanser","Balancing, Balanced","Allantoin, Panthenol, Salicylic Acid, Niacinamide"
"[4, 4, 3, 3, 2, 2, 1, 3, 2, 2, 4, 3, 2, 4]","Sunscreen, Serum","Balancing, Oil Control","Niacinamide, Panthenol, Glycol, Salicylic Acid"
"[4, 1, 3, 1, 1, 2, 3, 2, 4, 1, 3, 3, 2, 1]","Sunscreen, Serum","Balancing, Hydrating","Panthenol, Niacinamide, Allantoin, Cica"
"[2, 4, 3, 4, 3, 1, 4, 1, 2, 3, 3, 3, 4, 1]","Sunscreen, Cleanser","Pore Care, Minimal Care","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[4, 4, 2, 4, 3, 4, 4, 1, 4, 3, 2, 2, 4, 4]","Sunscreen, Serum","Balancing, Custom Care","Panthenol, Allantoin, Niacinamide, Glycol"
"[4, 3, 1, 2, 4, 1, 1, 2, 1, 1, 1, 3, 2, 1]","Moisturizer, Sunscreen","Balancing, Balanced","Panthenol, Allantoin, Glycerin, Salicylic Acid"
"[2, 4, 3, 4, 3, 2, 4, 3, 2, 1, 2, 1, 3, 3]","Sunscreen, Cleanser","Pore Care, Protective","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[4, 1, 1, 3, 1, 3, 3, 2, 1, 3, 2, 2, 1, 2]","Sunscreen, Serum","Balancing, Calming","Allantoin, Panthenol, Cica, Ceramide"
"[2, 2, 2, 1, 1, 4, 3, 4, 1, 3, 1, 2, 2, 4]","Booster, Spot Treatment","Pore Care, Hydrating","Panthenol, Cica, Salicylic Acid, Niacinamide"
"[3, 2, 4, 2, 1, 3, 2, 2, 3, 1, 3, 1, 3, 1]","Cleanser, Sunscreen","Acne Free, Balanced","Salicylic Acid, Niacinamide, Allantoin, Ceramide"
"[3, 1, 1, 4, 3, 4, 1, 1, 4, 1, 2, 4, 4, 2]","Sunscreen, Essence","Balanced Hydration, Protective","Allantoin, Water, Niacinamide, Panthenol"
"[4, 2, 4, 4, 3, 3, 4, 3, 2, 3, 4, 1, 4, 3]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Panthenol, Salicylic Acid, Ceramide"
"[3, 4, 1, 4, 4, 2, 1, 4, 4, 4, 4, 3, 2, 4]","Sunscreen, Booster","Balancing, Custom Care","Panthenol, Niacinamide, Water, Allantoin"
"[3, 1, 2, 4, 4, 1, 3, 1, 3, 1, 4, 3, 3, 2]","Sunscreen, Serum","Balanced Hydration, Balancing","Allantoin, Niacinamide, Panthenol, Water"
"[2, 3, 2, 4, 2, 4, 4, 3, 2, 4, 2, 1, 4, 1]","Cleanser, Moisturizer","Balanced, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[4, 4, 1, 4, 3, 4, 2, 3, 4, 3, 4, 4, 2, 4]","Sunscreen, Serum","Balancing, Acne Free","Panthenol, Niacinamide, Salicylic Acid, Allantoin"
"[2, 2, 2, 3, 4, 3, 4, 2, 1, 3, 3, 2, 3, 1]","Sunscreen, Spot Treatment","Pore Care, Custom Care","Niacinamide, Panthenol, Ceramide, Salicylic Acid"
"[4, 2, 1, 4, 2, 3, 4, 1, 3, 1, 1, 1, 4, 1]","Serum, Sunscreen","Balancing, Acne Free","Panthenol, Salicylic Acid, Ceramide, Allantoin"
"[3, 2, 2, 4, 1, 2, 3, 4, 3, 4, 3, 2, 3, 4]","Serum, Sunscreen","Balancing, Custom Care","Niacinamide, Panthenol, Allantoin, Cica"
"[1, 1, 2, 3, 2, 2, 2, 4, 1, 2, 1, 4, 4, 3]","Sunscreen, Moisturizer","Protective, Hydrating","Niacinamide, Allantoin, Panthenol, Glycerin"
"[3, 4, 4, 4, 1, 2, 1, 4, 2, 1, 2, 2, 4, 3]","Sunscreen, Essence","Oil Control, Balanced Hydration","Allantoin, Niacinamide, Salicylic Acid, Panthenol"
"[4, 3, 2, 4, 3, 4, 2, 2, 1, 2, 3, 1, 4, 2]","Sunscreen, Serum","Acne Free, Balancing","Niacinamide, Panthenol, Allantoin, Ceramide"
"[2, 3, 3, 3, 3, 1, 1, 2, 1, 4, 3, 3, 3, 4]","Sunscreen, Moisturizer","Balanced, Balancing","Niacinamide, Allantoin, Water, Glycerin"
"[4, 1, 3, 2, 3, 2, 1, 2, 4, 3, 1, 3, 3, 2]","Sunscreen, Serum","Oil Control, Balanced","Niacinamide, Panthenol, Allantoin, Cica"
"[3, 2, 1, 1, 2, 1, 3, 2, 3, 2, 2, 1, 4, 1]","Sunscreen, Serum","Soothing, Acne Free","Allantoin, Salicylic Acid, Panthenol, Water"
"[3, 1, 3, 4, 2, 4, 1, 3, 2, 4, 1, 4, 1, 2]","Serum, Sunscreen","Balanced Hydration, Pore Care","Allantoin, Panthenol, Niacinamide, Cica"
"[3, 1, 2, 4, 1, 2, 4, 1, 4, 3, 2, 2, 4, 3]","Sunscreen, Essence","Calming, Minimal Care","Allantoin, Niacinamide, Panthenol, Cica"
"[1, 1, 1, 3, 4, 2, 1, 3, 2, 4, 4, 3, 2, 2]","Sunscreen, Booster","Balancing, Oil Control","Niacinamide, Panthenol, Glycerin, Ceramide"
"[1, 4, 3, 3, 1, 3, 3, 4, 2, 4, 1, 1, 2, 2]","Serum, Sunscreen","Balancing, Hydrating","Niacinamide, Salicylic Acid, Cica, Allantoin"
"[2, 4, 4, 4, 1, 1, 4, 2, 4, 2, 2, 3, 4, 4]","Sunscreen, Serum","Pore Care, Balancing","Allantoin, Niacinamide, Panthenol, Salicylic Acid"
"[1, 1, 3, 3, 4, 3, 2, 3, 3, 2, 1, 4, 1, 4]","Sunscreen, Serum","Protective, Balancing","Niacinamide, Cica, Allantoin, Panthenol"
"[4, 4, 1, 2, 2, 2, 2, 2, 1, 1, 3, 4, 3, 4]","Sunscreen, Serum","Balancing, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Glycol"
"[2, 2, 3, 1, 3, 2, 4, 1, 1, 3, 2, 2, 2, 1]","Sunscreen, Booster","Hydrating, Pore Care","Panthenol, Niacinamide, Cica, Glycerin"
"[4, 3, 2, 1, 4, 2, 2, 1, 4, 3, 3, 1, 2, 2]","Sunscreen, Booster","Acne Free, Balancing","Allantoin, Panthenol, Niacinamide, Salicylic Acid"
"[1, 1, 2, 1, 3, 4, 1, 4, 1, 3, 4, 1, 2, 4]","Booster, Moisturizer","Hydrating, Balancing","Panthenol, Glycerin, Niacinamide, Ceramide"
"[2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 3, 1, 2, 4]","Cleanser, Spot Treatment","Acne Free, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[3, 2, 3, 4, 2, 2, 3, 4, 3, 3, 3, 4, 3, 2]","Sunscreen, Serum","Balanced Hydration, Custom Care","Allantoin, Panthenol, Niacinamide, Retinol"
"[3, 3, 4, 2, 4, 4, 4, 2, 3, 4, 3, 2, 3, 1]","Booster, Moisturizer","Custom Care, Balanced","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[3, 1, 4, 2, 3, 1, 4, 2, 3, 2, 2, 2, 3, 2]","Sunscreen, Essence","Balanced Hydration, Protective","Niacinamide, Allantoin, Panthenol, Water"
"[4, 3, 4, 3, 3, 4, 2, 2, 2, 3, 1, 3, 3, 4]","Sunscreen, Serum","Balancing, Balanced","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[1, 3, 1, 3, 3, 3, 3, 4, 1, 1, 4, 1, 1, 1]","Moisturizer, Sunscreen","Hydrating, Acne Free","Ceramide, Allantoin, Glycerin, Salicylic Acid"
"[3, 1, 1, 1, 3, 3, 1, 4, 4, 2, 4, 1, 3, 2]","Sunscreen, Essence","Protective, Balanced Hydration","Niacinamide, Allantoin, Panthenol, Water"
"[4, 3, 3, 4, 2, 1, 4, 3, 2, 3, 2, 1, 4, 4]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Allantoin, Niacinamide, Glycol"
"[3, 3, 1, 4, 1, 3, 4, 3, 3, 1, 4, 2, 1, 1]","Sunscreen, Essence","Balanced, Balancing","Allantoin, Ceramide, Panthenol, Cica"
"[4, 2, 1, 2, 1, 3, 1, 1, 3, 2, 2, 3, 4, 4]","Sunscreen, Serum","Balancing, Calming","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[1, 3, 4, 3, 3, 3, 4, 3, 1, 2, 2, 1, 2, 1]","Moisturizer, Sunscreen","Hydrating, Protective","Ceramide, Niacinamide, Glycerin, Allantoin"
"[2, 2, 4, 4, 4, 2, 1, 2, 2, 1, 4, 3, 4, 4]","Sunscreen, Serum","Balancing, Pore Care","Panthenol, Salicylic Acid, Niacinamide, Ceramide"
"[2, 1, 2, 3, 2, 1, 4, 3, 1, 2, 1, 4, 3, 3]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Allantoin, Panthenol, Water"
"[1, 4, 3, 2, 3, 4, 2, 2, 2, 4, 4, 3, 3, 1]","Cleanser, Sunscreen","Hydrating, Oil Control","Niacinamide, Salicylic Acid, Ceramide, Panthenol"
"[4, 2, 3, 4, 3, 3, 2, 4, 1, 2, 4, 1, 1, 2]","Serum, Sunscreen","Balancing, Protective","Panthenol, Ceramide, Salicylic Acid, Niacinamide"
"[3, 1, 4, 2, 3, 1, 4, 1, 1, 1, 1, 1, 3, 1]","Sunscreen, Cleanser","UV Protection, Hydrating","Niacinamide, Allantoin, Salicylic Acid, Water"
"[4, 4, 1, 2, 2, 4, 4, 4, 2, 4, 2, 1, 4, 3]","Sunscreen, Cleanser","Custom Care, Acne Free","Panthenol, Niacinamide, Salicylic Acid, Glycol"
"[3, 3, 1, 2, 4, 1, 4, 3, 2, 4, 4, 3, 3, 2]","Sunscreen, Booster","Balanced, Balanced Hydration","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[4, 4, 4, 4, 1, 1, 1, 1, 2, 2, 4, 2, 2, 4]","Serum, Mask","Balancing, Calming","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[2, 2, 1, 1, 3, 2, 4, 2, 2, 1, 1, 1, 1, 2]","Sunscreen, Cleanser","Pore Care, Acne Free","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[1, 3, 4, 4, 1, 1, 1, 2, 3, 1, 4, 3, 1, 1]","Moisturizer, Serum","Hydrating, Balanced","Allantoin, Ceramide, Glycerin, Panthenol"
"[4, 2, 2, 3, 3, 1, 1, 3, 1, 4, 4, 1, 1, 2]","Sunscreen, Spot Treatment","Balancing, Acne Free","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[1, 1, 1, 1, 2, 4, 4, 2, 1, 3, 2, 4, 1, 2]","Sunscreen, Moisturizer","Hydrating, Soothing","Panthenol, Allantoin, Glycerin, Ceramide"
"[2, 4, 2, 3, 3, 2, 2, 3, 3, 3, 2, 3, 1, 1]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Allantoin, Salicylic Acid, Water"
"[1, 2, 3, 4, 3, 2, 2, 3, 2, 1, 4, 3, 4, 2]","Sunscreen, Serum","Balancing, Oil Control","Niacinamide, Ceramide, Salicylic Acid, Allantoin"
"[3, 3, 2, 2, 4, 2, 4, 2, 4, 1, 2, 4, 4, 3]","Sunscreen, Essence","Oil Control, Custom Care","Allantoin, Niacinamide, Panthenol, Water"
"[2, 3, 1, 4, 4, 1, 1, 4, 3, 4, 3, 4, 1, 4]","Sunscreen, Serum","Custom Care, Balanced","Allantoin, Panthenol, Salicylic Acid, Niacinamide"
"[1, 4, 4, 4, 1, 3, 3, 1, 3, 2, 4, 4, 3, 1]","Serum, Sunscreen","Protective, Hydrating","Ceramide, Niacinamide, Allantoin, Glycerin"
"[1, 4, 4, 2, 3, 3, 3, 3, 3, 1, 3, 2, 3, 4]","Sunscreen, Serum","Balanced, Protective","Niacinamide, Salicylic Acid, Ceramide, Retinol"
"[3, 2, 1, 2, 3, 1, 3, 3, 2, 3, 2, 2, 2, 2]","Sunscreen, Essence","Balanced Hydration, Oil Control","Allantoin, Salicylic Acid, Niacinamide, Water"
"[1, 3, 1, 3, 4, 3, 2, 2, 2, 4, 3, 4, 3, 3]","Sunscreen, Moisturizer","Balanced, Protective","Niacinamide, Allantoin, Salicylic Acid, Ceramide"
"[3, 1, 4, 3, 3, 3, 4, 4, 3, 3, 1, 2, 2, 1]","Sunscreen, Booster","Custom Care, Balancing","Panthenol, Allantoin, Water, Niacinamide"
"[1, 2, 3, 3, 1, 3, 1, 4, 2, 2, 2, 4, 3, 4]","Sunscreen, Moisturizer","Protective, Balancing","Allantoin, Niacinamide, Glycerin, Ceramide"
"[4, 3, 2, 2, 2, 2, 4, 4, 1, 3, 4, 3, 4, 3]","Sunscreen, Booster","Balancing, Balanced","Panthenol, Niacinamide, Allantoin, Glycol"
"[1, 2, 1, 2, 4, 2, 3, 4, 4, 3, 4, 1, 4, 3]","Sunscreen, Booster","Acne Free, Oil Control","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[1, 4, 3, 1, 3, 2, 3, 1, 1, 3, 1, 1, 1, 2]","Sunscreen, Calming Mask","Hydrating, Calming","Niacinamide, Cica, Allantoin, Glycerin"
"[2, 3, 3, 4, 3, 1, 4, 3, 3, 1, 3, 3, 3, 3]","Sunscreen, Serum","Balanced, Protective","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[4, 3, 1, 3, 2, 1, 1, 1, 3, 2, 2, 1, 2, 3]","Sunscreen, Serum","Balancing, Acne Free","Allantoin, Panthenol, Niacinamide, Salicylic Acid"
"[1, 4, 3, 4, 1, 1, 3, 3, 1, 4, 2, 3, 1, 4]","Serum, Sunscreen","Hydrating, Balancing","Allantoin, Ceramide, Niacinamide, Cica"
"[1, 1, 4, 4, 1, 4, 2, 1, 3, 3, 1, 2, 3, 2]","Calming Mask, Sunscreen","Calming, Custom Care","Panthenol, Cica, Allantoin, Ceramide"
"[2, 1, 1, 2, 3, 2, 2, 4, 3, 4, 3, 2, 4, 1]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Panthenol, Glycol"
"[2, 1, 3, 2, 4, 3, 2, 2, 1, 2, 2, 3, 3, 3]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[3, 1, 4, 4, 4, 4, 2, 3, 2, 3, 3, 1, 1, 4]","Cleanser, Sunscreen","Balancing, Custom Care","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[2, 2, 4, 2, 3, 4, 3, 4, 3, 4, 3, 2, 1, 4]","Serum, Cleanser","Custom Care, Pore Care","Salicylic Acid, Niacinamide, Panthenol, Retinol"
"[3, 1, 3, 4, 3, 4, 4, 4, 1, 4, 3, 2, 1, 3]","Sunscreen, Booster","Custom Care, Acne Prevention","Panthenol, Niacinamide, Cica, Allantoin"
"[3, 3, 2, 1, 4, 4, 3, 4, 1, 3, 1, 2, 3, 2]","Booster, Sunscreen","Custom Care, Balanced Hydration","Panthenol, Allantoin, Niacinamide, Glycerin"
"[1, 3, 2, 2, 1, 1, 1, 3, 3, 1, 2, 4, 2, 1]","Moisturizer, Sunscreen","Hydrating, Balanced","Allantoin, Glycerin, Niacinamide, Ceramide"
"[4, 1, 2, 2, 3, 3, 4, 4, 4, 1, 4, 2, 3, 4]","Sunscreen, Booster","Balancing, Protective","Panthenol, Niacinamide, Glycol, Ceramide"
"[2, 3, 2, 3, 4, 3, 2, 3, 2, 1, 3, 1, 3, 1]","Sunscreen, Cleanser","Balanced, Acne Free","Niacinamide, Salicylic Acid, Allantoin, Ceramide"
"[1, 2, 2, 1, 4, 2, 1, 4, 1, 4, 3, 4, 4, 2]","Sunscreen, Moisturizer","Hydrating, Custom Care","Glycerin, Niacinamide, Panthenol, Allantoin"
"[3, 1, 4, 2, 4, 3, 2, 1, 3, 4, 4, 4, 3, 4]","Essence, Cleanser","Custom Care, Protective","Allantoin, Niacinamide, Salicylic Acid, Panthenol"
"[4, 1, 2, 1, 2, 3, 1, 4, 2, 1, 1, 3, 2, 4]","Serum, Booster","Balancing, Pore Care","Panthenol, Niacinamide, Glycol, Glycerin"
"[1, 2, 2, 4, 1, 2, 3, 1, 3, 2, 2, 2, 3, 1]","Serum, Sunscreen","Hydrating, Calming","Niacinamide, Ceramide, Cica, Allantoin"
"[3, 3, 4, 1, 4, 4, 3, 1, 4, 4, 2, 2, 4, 1]","Essence, Moisturizer","Hydrating, Custom Care","Allantoin, Panthenol, Water, Glycerin"
"[1, 3, 2, 2, 1, 4, 3, 1, 4, 1, 4, 4, 3, 4]","Sunscreen, Moisturizer","Balanced, Calming","Allantoin, Niacinamide, Panthenol, Ceramide"
"[3, 4, 3, 1, 4, 3, 2, 2, 4, 1, 4, 2, 3, 4]","Serum, Sunscreen","Acne Prevention, UV Protection","Panthenol, Allantoin, Water, Niacinamide"
"[3, 4, 4, 1, 2, 3, 3, 1, 2, 4, 2, 1, 3, 4]","Essence, Serum","Soothing, Balanced Hydration","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[3, 4, 4, 1, 2, 1, 4, 2, 4, 1, 3, 4, 3, 3]","Sunscreen, Mask","UV Protection, Soothing","Allantoin, Niacinamide, Panthenol, Water"
"[4, 3, 2, 3, 2, 4, 3, 1, 3, 1, 3, 4, 4, 2]","Sunscreen, Serum","Balancing, Balanced","Allantoin, Panthenol, Niacinamide, Retinol"
"[2, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1]","Cleanser, Serum","Acne Free, Balancing","Panthenol, Niacinamide, Salicylic Acid, Allantoin"
"[1, 3, 4, 2, 2, 1, 1, 3, 4, 4, 2, 1, 2, 3]","Sunscreen, Moisturizer","Balanced, Soothing","Allantoin, Niacinamide, Salicylic Acid, Glycerin"
"[4, 4, 1, 2, 1, 2, 3, 3, 4, 2, 1, 3, 1, 2]","Sunscreen, Calming Mask","Oil Control, Calming","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[3, 1, 3, 2, 1, 1, 1, 4, 2, 4, 3, 2, 4, 4]","Sunscreen, Toner","Acne Prevention, Oil Control","Allantoin, Niacinamide, Cica, Panthenol"
"[4, 2, 1, 1, 2, 1, 1, 3, 1, 3, 2, 1, 1, 2]","Sunscreen, Serum","Acne Free, Hydrating","Allantoin, Panthenol, Salicylic Acid, Glycerin"
"[3, 2, 1, 3, 2, 4, 1, 3, 4, 2, 3, 4, 2, 2]","Sunscreen, Booster","Balanced Hydration, Balancing","Allantoin, Water, Panthenol, Niacinamide"
"[2, 1, 2, 2, 3, 3, 1, 2, 4, 2, 4, 2, 2, 1]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Panthenol, Ceramide, Salicylic Acid"
"[3, 3, 4, 1, 1, 3, 2, 3, 3, 4, 4, 1, 1, 1]","Essence, Moisturizer","Balanced, Hydrating","Allantoin, Salicylic Acid, Ceramide, Glycerin"
"[2, 4, 4, 1, 3, 4, 3, 3, 3, 3, 4, 2, 1, 3]","Sunscreen, Mask","Pore Care, Protective","Niacinamide, Panthenol, Salicylic Acid, Retinol"
"[1, 2, 4, 1, 3, 1, 4, 3, 4, 3, 3, 4, 2, 2]","Sunscreen, Booster","Hydrating, Protective","Allantoin, Panthenol, Niacinamide, Glycerin"
"[1, 3, 2, 1, 4, 2, 2, 3, 1, 1, 3, 3, 1, 1]","Sunscreen, Moisturizer","Hydrating, Balanced","Niacinamide, Glycerin, Ceramide, Allantoin"
"[4, 1, 2, 2, 2, 4, 2, 1, 4, 3, 3, 2, 4, 2]","Sunscreen, Serum","Acne Free, Minimal Care","Allantoin, Panthenol, Niacinamide, Salicylic Acid"
"[2, 3, 1, 1, 4, 1, 3, 3, 1, 1, 2, 1, 3, 3]","Sunscreen, Cleanser","Balanced, Acne Free","Niacinamide, Allantoin, Salicylic Acid, Glycerin"
"[4, 4, 2, 3, 2, 2, 3, 1, 2, 2, 3, 4, 4, 3]","Sunscreen, Serum","Protective, Balancing","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[1, 2, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 2, 1]","Moisturizer, Sunscreen","Hydrating, Acne Free","Panthenol, Glycerin, Salicylic Acid, Ceramide"
"[1, 3, 3, 4, 4, 1, 2, 1, 2, 3, 1, 1, 2, 1]","Moisturizer, Cleanser","Hydrating, Balancing","Allantoin, Panthenol, Ceramide, Cica"
"[4, 3, 1, 3, 2, 1, 1, 3, 2, 2, 3, 3, 1, 4]","Sunscreen, Serum","Balanced, Balancing","Niacinamide, Allantoin, Panthenol, Glycol"
"[1, 2, 2, 1, 4, 4, 1, 2, 3, 3, 3, 2, 2, 1]","Moisturizer, Booster","Hydrating, Custom Care","Panthenol, Glycerin, Ceramide, Niacinamide"
"[4, 3, 2, 4, 3, 1, 4, 2, 1, 2, 2, 1, 1, 4]","Serum, Sunscreen","Balancing, Acne Free","Panthenol, Allantoin, Niacinamide, Glycol"
"[1, 1, 1, 3, 1, 1, 2, 4, 2, 3, 1, 4, 3, 2]","Sunscreen, Calming Mask","Acne Free, Hydrating","Allantoin, Niacinamide, Salicylic Acid, Water"
"[2, 2, 4, 2, 3, 1, 1, 1, 2, 3, 4, 1, 4, 1]","Cleanser, Sunscreen","Pore Care, Oil Control","Salicylic Acid, Niacinamide, Allantoin, Glycerin"
"[2, 2, 4, 3, 1, 3, 3, 3, 4, 2, 4, 3, 2, 4]","Sunscreen, Serum","Balancing, Pore Care","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[2, 2, 3, 1, 4, 4, 4, 1, 2, 2, 1, 2, 4, 2]","Booster, Sunscreen","Custom Care, Pore Care","Panthenol, Cica, Salicylic Acid, Niacinamide"
"[2, 2, 3, 4, 4, 4, 2, 4, 4, 2, 1, 4, 4, 3]","Sunscreen, Booster","Custom Care, Protective","Panthenol, Salicylic Acid, Niacinamide, Allantoin"
"[4, 1, 1, 3, 3, 2, 1, 1, 4, 3, 1, 1, 4, 1]","Sunscreen, Moisturizer","Balancing, Acne Free","Allantoin, Niacinamide, Panthenol, Salicylic Acid"
"[2, 3, 4, 3, 4, 3, 2, 4, 2, 2, 2, 4, 1, 4]","Cleanser, Sunscreen","Protective, Balancing","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[3, 1, 4, 4, 3, 4, 3, 3, 1, 4, 1, 4, 4, 4]","Sunscreen, Serum","Balancing, Protective","Panthenol, Allantoin, Niacinamide, Ceramide"
"[2, 3, 1, 4, 4, 1, 4, 3, 3, 1, 2, 1, 4, 2]","Sunscreen, Cleanser","Custom Care, Balanced","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[3, 1, 2, 1, 3, 1, 1, 3, 4, 4, 4, 4, 3, 4]","Sunscreen, Essence","Protective, UV Protection","Niacinamide, Allantoin, Water, Panthenol"
"[3, 3, 1, 3, 3, 4, 2, 1, 4, 2, 2, 4, 3, 4]","Sunscreen, Essence","Protective, Balanced","Allantoin, Water, Niacinamide, Salicylic Acid"
"[1, 4, 4, 1, 4, 3, 2, 3, 1, 2, 2, 2, 2, 1]","Moisturizer, Mask","Hydrating, Protective","Glycerin, Ceramide, Panthenol, Niacinamide"
"[2, 2, 3, 4, 1, 1, 4, 3, 4, 3, 1, 2, 1, 3]","Sunscreen, Calming Mask","Pore Care, Acne Prevention","Cica, Allantoin, Panthenol, Niacinamide"
"[4, 1, 4, 1, 3, 2, 4, 4, 2, 3, 3, 4, 1, 2]","Sunscreen, Booster","Protective, Oil Control","Niacinamide, Panthenol, Allantoin, Glycol"
"[4, 1, 2, 2, 3, 3, 2, 1, 1, 2, 2, 3, 2, 4]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Panthenol, Glycol, Salicylic Acid"
"[2, 2, 1, 4, 3, 4, 1, 1, 3, 1, 4, 1, 3, 3]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[1, 3, 3, 4, 2, 3, 2, 2, 3, 2, 4, 1, 4, 2]","Serum, Sunscreen","Balancing, Soothing","Ceramide, Panthenol, Allantoin, Salicylic Acid"
"[1, 4, 3, 1, 3, 2, 4, 2, 1, 4, 4, 3, 1, 1]","Moisturizer, Sunscreen","Hydrating, Pore Care","Glycerin, Ceramide, Niacinamide, Panthenol"
"[2, 1, 3, 1, 3, 3, 2, 3, 2, 1, 3, 1, 4, 3]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Salicylic Acid, Allantoin, Cica"
"[4, 4, 4, 4, 3, 1, 4, 1, 1, 1, 2, 3, 2, 3]","Sunscreen, Serum","Balancing, Protective","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[3, 3, 4, 2, 2, 1, 2, 3, 3, 4, 1, 1, 3, 1]","Cleanser, Sunscreen","Balanced, Acne Free","Salicylic Acid, Niacinamide, Allantoin, Water"
"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 1, 1, 3, 4]","Serum, Moisturizer","Balanced, Custom Care","Panthenol, Allantoin, Cica, Niacinamide"
"[2, 4, 3, 2, 1, 2, 4, 1, 2, 1, 2, 4, 2, 1]","Cleanser, Sunscreen","Oil Control, Pore Care","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[4, 3, 3, 4, 1, 3, 4, 1, 1, 2, 3, 1, 2, 2]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Allantoin, Cica, Ceramide"
"[1, 2, 3, 4, 2, 2, 1, 1, 2, 4, 1, 4, 4, 2]","Sunscreen, Serum","Oil Control, Hydrating","Allantoin, Cica, Panthenol, Glycerin"
"[2, 2, 2, 1, 3, 4, 2, 3, 1, 4, 3, 3, 3, 4]","Sunscreen, Cleanser","Balanced, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Glycerin"
"[3, 1, 3, 3, 3, 3, 4, 4, 1, 1, 3, 1, 1, 2]","Sunscreen, Essence","Balanced Hydration, Protective","Allantoin, Niacinamide, Water, Cica"
"[4, 2, 4, 2, 1, 4, 1, 1, 1, 1, 3, 1, 4, 4]","Sunscreen, Serum","Balancing, Calming","Salicylic Acid, Allantoin, Panthenol, Niacinamide"
"[1, 1, 4, 1, 4, 2, 2, 4, 3, 4, 1, 3, 1, 4]","Booster, Sunscreen","Custom Care, Hydrating","Panthenol, Niacinamide, Glycerin, Salicylic Acid"
